epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
1,0.531259,0.779110,0.793683,0.757946,0.236333,0.917867,0.919844,0.916210,1.00e-03
2,0.254401,0.923775,0.926875,0.920548,0.267406,0.923283,0.946000,0.906397,1.00e-03
3,0.205008,0.944919,0.946609,0.942924,0.140861,0.962533,0.962533,0.962533,1.00e-03
4,0.192897,0.949399,0.950759,0.947951,0.192455,0.947432,0.947489,0.947368,1.00e-03
5,0.183230,0.952861,0.954413,0.951687,0.093649,0.976870,0.977363,0.976615,1.00e-03
6,0.189551,0.952000,0.953402,0.950474,0.115183,0.971518,0.971642,0.971518,1.00e-03
7,0.166312,0.959452,0.960308,0.958768,0.373647,0.878106,0.878098,0.878043,1.00e-03
8,0.158330,0.962015,0.962665,0.961271,0.128255,0.962151,0.962274,0.962151,1.00e-03
9,0.160791,0.959961,0.960750,0.959472,0.080263,0.981076,0.981198,0.980948,1.00e-03
10,0.163873,0.961252,0.962126,0.960489,0.849920,0.623296,0.775967,0.555053,1.00e-03
11,0.153383,0.963247,0.963898,0.963012,0.083938,0.979355,0.979541,0.979291,1.00e-03
12,0.152786,0.963912,0.964447,0.963579,0.077864,0.981394,0.981394,0.981394,1.00e-03
13,0.150192,0.965340,0.965836,0.964929,0.245747,0.925067,0.929960,0.920479,1.00e-03
14,0.143763,0.966768,0.967059,0.966435,0.085286,0.979929,0.979990,0.979865,1.00e-03
15,0.146779,0.965575,0.965977,0.965183,0.081318,0.981713,0.981713,0.981713,1.00e-03
16,0.141605,0.967081,0.967413,0.966826,0.072412,0.982923,0.983048,0.982860,1.00e-03
17,0.143559,0.967218,0.967549,0.966944,0.092585,0.974959,0.974959,0.974959,1.00e-03
18,0.144986,0.965594,0.966297,0.965125,0.094469,0.975596,0.975658,0.975596,1.00e-03
19,0.142655,0.967472,0.967881,0.967257,0.115304,0.968332,0.968392,0.968268,1.00e-03
20,0.142027,0.966083,0.966578,0.965614,0.072583,0.982923,0.982923,0.982923,1.00e-03
